price_cad,location,title,url,snippet,query
33998,Maple,2023 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/2023-Toyota-Corolla_Cross-id14329137.html,2023 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/Toyota-Corolla_Cross.html
38998,Maple,2024 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/2024-Toyota-Corolla_Cross-id14274105.html,2024 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/Toyota-Corolla_Cross.html
39998,Maple,2024 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/2024-Toyota-Corolla_Cross-id14299404.html,2024 Toyota Corolla Cross Hybrid,https://www.mapletoyota.com/used/Toyota-Corolla_Cross.html
